id|user_id|roads|length|created_at|start|end|

1,1,1 ,10,2023-05-05 16:16:03,1,2
2,1,1 7 ,31,2023-05-05 16:18:03,10,2
3,1,1 ,10,2023-05-05 16:31:36,1,2
4,1,10 ,34,2023-05-05 17:36:55,11,2
5,1,15 5 8 ,90,2023-05-05 17:37:08,11,7
6,1,12 3 ,76,2023-05-05 17:43:37,1,5
7,1,2 ,18,2023-05-05 17:43:50,1,3
8,1,1 ,10,2023-05-05 18:01:42,2,1
9,1,1 ,10,2023-05-05 18:01:44,2,1
10,1,1 ,10,2023-05-05 18:01:46,2,1
11,1,1 ,10,2023-05-05 18:01:47,2,1
12,1,1 ,10,2023-05-05 18:47:17,1,2
13,1,1 ,10,2023-05-05 18:47:54,1,2
14,1,1 ,10,2023-05-05 18:49:08,1,2
15,1,1 ,10,2023-05-05 18:49:33,1,2
16,1,1 7 18 ,47,2023-05-06 16:12:16,12,2
17,2,15 5 7 18 ,94,2023-05-06 16:34:47,12,7
18,2,6 8 ,49,2023-05-06 16:37:35,11,9
19,14,15 5 ,57,2023-05-06 16:40:47,1,7
20,1,12 3 8 ,109,2023-05-06 17:03:57,11,5
21,16,1 5 ,26,2023-05-08 16:18:31,8,2
22,16,12 3 8 ,109,2023-05-08 16:18:50,11,5
23,17,1 ,10,2023-05-10 11:21:28,2,1
24,1,4 1 ,71,2023-05-10 20:20:25,2,6
25,1,4 3 ,87,2023-05-10 20:23:28,4,6
26,1,4 5 ,77,2023-05-10 20:24:22,8,6
27,18,4 8 ,94,2023-05-11 11:32:18,11,6
28,1,15 5 7 18 ,94,2023-05-11 16:00:03,12,7
